name;used
Мглин;0
Навля;0
Новозыбков;0
Погар;0
Почеп;0
Ржаница;0
Рогнедино;0
Севск;0
Стародуб;0
Суземка;0
Сураж;0
Трубчевск;0
Унеча;0
Бабушкин;0
Багдарин;0
Баргузин;0
Баянгол;0
Бичура;0
Выдрино;0
Гусиное Озеро;0
Гусиноозерск;0
Заиграево;0
Закаменск;0
Иволгинск;0
Илька;0
Кабанск;0
Каменск;0
Кижинга;0
Курумкан;0
Кырен;0
Кяхта;0
Монды;0
Мухоршибирь;0
Нижнеангарск;0
Орлик;0
Северобайкальск;0
Селенгинск;0
Сосново-Озерское;0
Таксимо;0
Турунтаево;0
Улан-Удэ;0
Хоринск;0
Александров;0
Андреево;0
Анопино;0
Бавлены;0
Балакирево;0
Боголюбово;0
Великодворский;0
Вербовский;0
Владимир;0
Вязники;0
Городищи;0
Гороховец;0
Гусевский;0
Гусь Хрустальный;0
Золотково;0
Иванищи;0
Камешково;0
Карабаново;0
Киржач;0
Ковров;0
Кольчугино;0
Красная Горбатка;0
Меленки;0
Муром;0
Петушки;0
Покров;0
Собинка;0
Судогда;0
Суздаль;0
Юрьев-Польский;0
Алексеевская;0
Алущевск;0
Волгоград;0
Дубовка;0
Елань;0
Жирновск;0
Иловля;0
Калач-на-Дону;0
Камышин;0
Кириллов;0
Клетский;0
Котельниково;0
Котово;0
Кумылженская;0
Нехаевский;0
Николаевск;0
Новоаннинский;0
Новониколаевский;0
Ольховка;0
Палласовка;0
Светлый Яр;0
Серафимович;0
Средняя Ахтуба;0
Сталинград;0
Старая Полтавка;0
Суровикино;0
Урюпинск;0
Фролово;0
Чернышковский;0
Бабаево;0
Белозерск;0
Великий Устюг;0
Верховажье;0
Вожега;0
Вологда;0
Вохтога;0
Вытегра;0
Грязовец;0
Кадников;0
Кадуй;0
Кичменгский Городок;0
Липин Бор;0
Нюксеница;0
Сокол;0
Сямжа;0
Тарногский Городок;0
Тотьма;0
Устюжна;0
Харовск;0
Чагода;0
Череповец;0
Шексна;0
Шуйское;0
Бобров;0
Богучар;0
Борисоглебск;0
Бутурлиновка;0
Верхний Мамон;0
Верхняя Хава;0
Воробьевка;0
Грибановский;0
Давыдовка;0
Елань-Коленовский;0
Калач;0
Кантемировка;0
Лиски;0
Нижнедевицк;0
Новая Усмань;0
Новохоперск;0
Ольховатка;0
Острогожск;0
Панино;0
Поворино;0
Подгоренский;0
Рамонь;0
Репьевка;0
Россошь;0
Семилуки;0
Таловая;0
Терновка;0
Хохольский;0
Эртиль;0
нововоронеж;0
Агвали;0
Акуша;0
Ахты;0
Ачису;0
Бабаюрт;0
Бежта;0
Ботлих;0
Буйнакск;0
Вачи;0
Гергебиль;0
Гуниб;0
Дагестанские Огни;0
Дербент;0
Дылым;0
Ершовка;0
Избербаш;0
Карабудахкент;0
Карата;0
Каспийск;0
Касумкент;0
Кизилюрт;0
Кизляр;0
Кочубей;0
Кумух;0
Курах;0
Магарамкент;0
Маджалис;0
Махачкала;0
Мехельта;0
Новолакское;0
Рутул;0
Тарумовка;0
Терекли-Мектеб;0
Тлярата;0
Тпиг;0
Уркарах;0
Хасавюрт;0
Хив;0
Хунзах;0
Цуриб;0
Южно-Сухокумск;0
Биробиджан;0
Архиповка;0
Верхний Ландех;0
Вичуга;0
Гаврилов Посад;0
Долматовский;0
Дуляпино;0
Заволжск;0
Иваново;0
Иваньковский;0
Ильинское-Хованское;0
Каминский;0
Кинешма;0
Кохма;0
Лух;0
Палех;0
Пестяки;0
Приволжск;0
Пучеж;0
Савино;0
Сокольское;0
Тейково;0
Фурманов;0
Шуя;0
Южа;0
Юрьевец;0
Алексеевск;0
Алзамай;0
Алыгжер;0
Ангарск;0
Атагай;0
Байкал;0
Байкальск;0
Балаганск;0
Баяндай;0
Бирюсинск;0
Бодайбо;0
Большая Речка;0
Большой Луг;0
Бохан;0
Братск;0
Видим;0
Витимский;0
Вихоревка;0
Еланцы;0
Ербогачен;0
Железногорск-Илимский;0
Жигалово;0
Забитуй;0
Залари;0
Звездный;0
Зима;0
Иркутск;0
Качуг;0
Квиток;0
Киренск;0
Куйтун;0
Култук;0
Кутулик;0
Мама;0
Нижнеудинск;0
Саянск;0
Слюдянка;0
Тайшет;0
Тулун;0
Усолье-Сибирское;0
Усть-Илимск;0
Усть-Кут;0
Усть-Ордынский;0
Усть-Уда;0
Черемхово;0
Чунский;0
Шелехов;0
Баксан;0
Майский;0
Нальчик;0
Нарткала;0
Прохладный;0
Терек;0
Тырныауз;0
Чегем-Первый;0
Багратионовск;0
Балтийск;0
Гвардейск;0
Гусев;0
Зеленоградск;0
Знаменск;0
Кёнигсберг;0
Кенисберг;0
Мамоново;0
Неман;0
Полесск;0
Правдинск;0
Славск;0
Черняховск;0
Аршань;0
Каспийский;0
Малые Дербеты;0
Приютное;0
Утта;0
Цаган-Аман;0
Элиста;0
Юста;0
Яшалта;0
Яшкуль;0
Бабынино;0
Балабаново;0
Барятино;0
Белоусово;0
Бетлица;0
Боровск;0
Дугна;0
Дудоровский;0
Думиничи;0
Еленский;0
Жиздра;0
Износки;0
Калуга;0
Козельск;0
Кондрово;0
Людиново;0
Малоярославец;0
Медынь;0
Мещовск;0
Мосальск;0
Обнинск;0
Перемышль;0
Спас-Деменск;0
Сухиничи;0
Таруса;0
Ульяново;0
Ферзиково;0
Хвастовичи;0
Юхнов;0
Атласово;0
Аянка;0
Большерецк;0
Вилючинск;0
Ильпырский;0
Каменское;0
Крапивная;0
Мильково;0
Никольское;0
Озерновский;0
Оссора;0
Палана;0
Парень;0
Пахачи;0
Петропавловск-Камчатский;0
Тигиль;0
Тиличики;0
Усть-Большерецк;0
Усть-Камчатск;0
Амбарный;0
Беломорск;0
Валаам;0
Вирандозеро;0
Гирвас;0
Деревянка;0
Идель;0
Импалахти;0
Калевала;0
Кемь;0
Кестеньга;0
Кондопога;0
Костомукша;0
Лахденпохья;0
Лоухи;0
Медвежьегорск;0
Муезерский;0
Олонец;0
Петрозаводск;0
Питкяранта;0
Повенец;0
Пряжа;0
Пудож;0
Сегежа;0
Сортавала;0
Софпорог;0
Суоярви;0
Анжеро-Судженск;0
Барзас;0
Грамотеино;0
Ижморский;0
Итатский;0
Калтан;0
Кедровка;0
Кемерово;0
Киселевск;0
Крапивинский;0
Ленинск-Кузнецкий;0
Мариинск;0
Междуреченск;0
Мыски;0
Новокузнецк;0
Осинники;0
Прокопьевск;0
Промышленная;0
Тайга;0
Таштагол;0
Тисуль;0
Топки;0
Тяжинский;0
Юрга;0
Яшкино;0
Яя;0
Арбаж;0
Аркуль;0
Белая Холуница;0
Боровой;0
Верхошижемье;0
Вятские Поляны;0
Каринторф;0
Кикнур;0
Кильмезь;0
Кирово-Чепецк;0
Кирс;0
Кобра;0
Котельнич;0
Кумены;0
Луза;0
Малмыж;0
Мураши;0
Нагорск;0
Нема;0
Нововятск;0
Нолинск;0
Омутнинск;0
Опарино;0
Оричи;0
Пижанка;0
Подосиновец;0
Санчурск;0
Свеча;0
Слободской;0
Суна;0
Тужа;0
Уни;0
Уржум;0
Фаленки;0
Халтурин;0
Юрья;0
Яранск;0
Абезь;0
Айкино;0
Верхняя Инта;0
Визинга;0
Водный;0
Вожаель;0
Воркута;0
Вуктыл;0
Гешарт;0
Елецкий;0
Емва;0
Ижма;0
Инта;0
Ираель;0
Каджером;0
Кажым;0
Кожым;0
Койгородок;0
Корткерос;0
Кослан;0
Объячево;0
Печора;0
Сосногорск;0
Сыктывкар;0
Троицко-Печерск;0
Усинск;0
Усогорск;0
Усть-Кулом;0
Усть-Цильма;0
Ухта;0
Антропово;0
Боговарово;0
Буй;0
Волгореченск;0
Горчуха;0
Зебляки;0
Кадый;0
Кологрив;0
Кострома;0
Красное-на-Волге;0
Макарьев;0
Нерехта;0
Нея;0
Островское;0
Павино;0
Парфентьево;0
Поназырево;0
Солигалич;0
Судиславль;0
Сусанино;0
Чухлома;0
Шарья;0
Шемятино;0
Абинск;0
Абрау-Дюрсо;0
Анапа;0
Апшеронск;0
Армавир;0
Архипо-Осиповка;0
Афипский;0
Ахтырский;0
Ачуево;0
Белореченск;0
Верхнебаканский;0
Выселки;0
Геленджик;0
Гиагинская;0
Горячий Ключ;0
Джубга;0
Динская;0
Ейск;0
Ильский;0
Кабардинка;0
Калининская;0
Каменномостский;0
Каневская;0
Кореновск;0
Красноармейская;0
Краснодар;0
Кропоткин;0
Крыловская;0
Крымск;0
Курганинск;0
Кущевская;0
Лабинск;0
Лениградская;0
Мостовской;0
Новороссийск;0
Отрадная;0
Павловская;0
Приморско-Ахтарск;0
Северская;0
Славянск-на-Кубани;0
Сочи;0
Староминская;0
Старощербиновская;0
Тбилисская;0
Темрюк;0
Тимашевск;0
Тихорецк;0
Туапсе;0
Тульский;0
Усть-Лабинск;0
Шовгеновский;0
 Железногорск;0
Абаза;0
Абан;0
Аскиз;0
Ачинск;0
Байкит;0
Балахта;0
Балыкса;0
Бельтырский;0
Бея;0
Бискамжа;0
Боготол;0
Боград;0
Богучаны;0
Большая Мурта;0
Большой Улуй;0
Ванавара;0
Верхнеимбатск;0
Горячегорск;0
Дзержинское;0
Дивногорск;0
Дудинка;0
Емельяново;0
Енисейск;0
Ермаковское;0
Заозерный;0
Игарка;0
Идринское;0
Иланский;0
Ирбейское;0
Канск;0
Каратузское;0
Караул;0
Кежма;0
Кодинск;0
Козулька;0
Копьево;0
Краснотуранск;0
Красноярск;0
Курагино;0
Лесосибирск;0
Минусинск;0
Мотыгино;0
Назарово;0
Нижний Ингаш;0
Новоселово;0
Норильск;0
Партизанское;0
Пировское;0
Северо-Енисейский;0
Тасеево;0
Таштып;0
Тура;0
Туруханск;0
Тюхтет;0
Ужур;0
Усть-Авам;0
Уяр;0
Хатанга;0
Черемушки;0
Черногорск;0
Шалинское;0
Шарыпово;0
Шира;0
Шушенское;0
Варгаши;0
Глядянское;0
Далматово;0
Каргаполье;0
Катайск;0
Кетово;0
Курган;0
Куртамыш;0
Макушино;0
Мишкино;0
Мокроусово;0
Петухово;0
Половинное;0
Сафакулево;0
Шадринск;0
Шатрово;0
Шумиха;0
Щучье;0
Юргамыш;0
Альменево;0
Белая;0
Большое Солдатское;0
Глушково;0
Горшечное;0
Дмитриев-Льговский;0
Железногорск;0
Золотухино;0
Касторное;0
Конышевка;0
Коренево;0
Курск;0
Кшенский;0
Льгов;0
Медвенка;0
Обоянь;0
Поныри;0
Пристень;0
Прямицыно;0
Рыльск;0
Суджа;0
Тим;0
Фатеж;0
Хомутовка;0
Черемисиново;0
Щигры;0
Грязи;0
Данхов;0
Доброе;0
Долгоруково;0
Елец;0
Задонск;0
Измалково;0
Казинка;0
Лебедянь;0
Лев Толстой;0
Липецк;0
Тербуны;0
Усмань;0
Хлевное;0
Чаплыгин;0
Атка;0
Балыгычан;0
Беринговский;0
Ванкарем;0
Иульитин;0
Кадыкчан;0
Лаврентия;0
Магадан;0
Мыс Шмидта;0
Ола;0
Омонск;0
Омсукчан;0
Палатка;0
Певек;0
Провидения;0
Сеймчан;0
Синегорье;0
Сусуман;0
Усть-Белая;0
Усть-Омчуг;0
Эвенск;0
Эгвекинот;0
Ягодное;0
Волжск;0
Дубовский;0
Звенигово;0
Йошкар-Ола;0
Килемары;0
Козьмодемьянск;0
Куженер;0
Мари-Турек;0
Медведево;0
Морки;0
Новый Торьял;0
Оршанка;0
Параньга;0
Сернур;0
Юрино;0
Атюрьево;0
Атяшево;0
Большие Березники;0
Большое Игнатово;0
Выша;0
Ельники;0
Зубова Поляна;0
Инсар;0
Кадошкино;0
Кемля;0
Ковылкино;0
Кочкурово;0
Краснослободск;0
Лямбирь;0
Ромоданово;0
Саранск;0
Старое Шайгово;0
Темников;0
Теньгушево;0
Торбеево;0
Чамзинка;0
Апатиты;0
Африканда;0
Верхнетуломский;0
Заозерск;0
Зареченск;0
Зашеек;0
Зеленоборский;0
Кандалакша;0
Кильдинстрой;0
Ковдор;0
Кола;0
Конда;0
Мончегорск;0
Мурманск;0
Мурмаши;0
Никель;0
Оленегорск;0
Полярные Зори;0
Полярный;0
Североморск;0
Снежногорск;0
Умба;0
Арзамас;0
Арья;0
Балахна;0
Богородск;0
Большереченск;0
Большое Болдино;0
Большое Козино;0
Большое Мурашкино;0
Большое Пикино;0
Бор;0
Бутурлино;0
Вад;0
Варнавино;0
Васильсурск;0
Вахтан;0
Вача;0
Велетьма;0
Ветлуга;0
Виля;0
Вознесенское;0
Воротынец;0
Ворсма;0
Выездное;0
Выкса;0
Гагино;0
Гидроторф;0
Горбатов;0
Горбатовка;0
Городец;0
Горький;0
Дальнее Константиново;0
Дивеево;0
Досчатое;0
Заволжье;0
Катунки;0
Керженец;0
Княгинино;0
Ковернино;0
Красные Баки;0
Кстово;0
Кулебаки;0
Лукоянов;0
Лысково;0
Навашино;0
Нижний Новгород;0
Павлово;0
Перевоз;0
Пильна;0
Починки;0
Саров;0
Сергач;0
Сеченово;0
Сосновское;0
Спасское;0
Тонкино;0
Тоншаево;0
Уразовка;0
Урень;0
Шаранга;0
Шатки;0
Шахунья;0
Анциферово;0
Батецкий;0
Большая Вишера;0
Боровичи;0
Валдай;0
Волот;0
Деманск;0
Кресцы;0
Любытино;0
Малая Вишера;0
Марево;0
Мошенское;0
Новгород;0
Окуловка;0
Парфино;0
Пестово;0
Поддорье;0
Сольцы;0
Старая Русса;0
Хвойное;0
Холм;0
Чудово;0
Шимск;0
Баган;0
Барабинск;0
Бердск;0
Биаза;0
Болотное;0
Венгерово;0
Довольное;0
Искитим;0
Карасук;0
Каргат;0
Колывань;0
Краснозерское;0
Крутиха;0
Купино;0
Кыштовка;0
Маслянино;0
Михайловский;0
Мошково;0
Новосибирск;0
Ордынское;0
Сузун;0
Татарск;0
Тогучин;0
Убинское;0
Усть-Тарка;0
Чаны;0
Черепаново;0
Чистоозерное;0
Чулым;0
Береговой;0
Большеречье;0
Большие Уки;0
Горьковское;0
Исилькуль;0
Калачинск;0
Колосовка;0
Кормиловка;0
Крутинка;0
Любинский;0
Марьяновка;0
Муромцево;0
Называевск;0
Нижняя Омка;0
Нововаршавка;0
Одесское;0
Оконешниково;0
Омск;0
Павлоградка;0
Полтавка;0
Русская Поляна;0
Саргатское;0
Седельниково;0
Таврическое;0
Тара;0
Тевриз;0
Тюкалинск;0
Усть-Ишим;0
Черлак;0
Шербакуль;0
Абдулино;0
Адамовка;0
Айдырлинский;0
Акбулак;0
Аккермановка;0
Асекеево;0
Бугуруслан;0
Бузулук;0
Гай;0
Грачевка;0
Домбаровский;0
Дубенский;0
Илек;0
Ириклинский;0
Кувандык;0
Курманаевка;0
Матвеевка;0
Медногорск;0
Новоорск;0
Новосергиевка;0
Новотроицк;0
Оренбург;0
Орск;0
Переволоцкий;0
Пономаревка;0
Саракташ;0
Соль-Илецк;0
Сорочинск;0
Ташла;0
Тоцкое;0
Тюльган;0
Шарлык;0
Энергетик;0
Ясный;0
Болхов;0
Верховье;0
Глазуновка;0
Дмитровск-Орловский;0
Долгое;0
Залегощь;0
Змиевка;0
Колпны;0
Красная Заря;0
Кромы;0
Ливны;0
Малоархангельск;0
Мценск;0
Нарышкино;0
Новосиль;0
Орел;0
Сосково;0
Тросна;0
Хомутово;0
Хотынец;0
Шаблыкино;0
Башмаково;0
Беднодемьяновск;0
Беково;0
Белинский;0
Бессоновка;0
Вадинск;0
Верхозим;0
Евлашево;0
Земетчино;0
Золотаревка;0
Исса;0
Колышлей;0
Кондоль;0
Кузнецк;0
Лопатино;0
Малая Сердоба;0
Мокшан;0
Наровчат;0
Неверкино;0
Нижний Ломов;0
Пачелма;0
Пенза;0
Русский Камешкир;0
Сердобск;0
Сура;0
Тамала;0
Шемышейка;0
Березники;0
Большая Соснова;0
Верещагино;0
Гайны;0
Гремячинск;0
Губаха;0
Добрянка;0
Елово;0
Зюкайка;0
Карагай;0
Керчевский;0
Кизел;0
Коса;0
Кочево;0
Красновишерск;0
Краснокамск;0
Кудымкар;0
Куеда;0
Кунгур;0
Лысьва;0
Ныроб;0
Нытва;0
Орда;0
Оханск;0
Очер;0
Пермь;0
Соликамск;0
Суксун;0
Уинское;0
Усолье;0
Усть-Кишерть;0
Чайковский;0
Частые;0
Чердынь;0
Чернореченский;0
Чернушка;0
Чусовой;0
Юрла;0
Юсьва;0
Анучино;0
Арсеньев;0
Артем;0
Большой Камень;0
Валентин;0
Владивосток;0
Высокогорск;0
Горные Ключи;0
Дальнегорск;0
Дальнереченск;0
Кавалерово;0
Камень-Рыболов;0
Лазо;0
Лесозаводск;0
Лучегорск;0
Новопокровка;0
Ольга;0
Партизанск;0
Пограничный;0
Русский;0
Самарга;0
Славянка;0
Спасск-Дальний;0
Терней;0
Уссурийск;0
Фокино;0
Хасан;0
Хороль;0
Чугуевка;0
Яковлевка;0
Бежаницы;0
Великие Луки;0
Гдов;0
Дедовичи;0
Дно;0
Заплюсье;0
Идрица;0
Красногородское;0
Кунья;0
Локня;0
Невель;0
Новоржев;0
Новосокольники;0
Опочка;0
Остров;0
Палкино;0
Печоры;0
Плюсса;0
Порхов;0
Псков;0
Пустошка;0
Пушкинские Горы;0
Пыталово;0
Себеж;0
Струги-Красные;0
Усвяты;0
Азов;0
Алмазный;0
Аютинск;0
Багаевский;0
Батайск;0
Белая Калитва;0
Боковская;0
Большая Мартыновка;0
Вешенская;0
Волгодонск;0
Восход;0
Гигант;0
Горняцкий;0
Гуково;0
Дубовское;0
Егорлыкская;0
Жирнов;0
Заветное;0
Заводской;0
Зверево;0
Зерноград;0
Зимовники;0
Кагальницкая;0
Казанская;0
Каменоломни;0
Каменск-Шахтинский;0
Кашары;0
Коксовый;0
Константиновск;0
Красный Сулин;0
Матвеев Курган;0
Мигулинская;0
Миллерово;0
Милютинская;0
Морозовск;0
Новочеркасск;0
Новошахтинск;0
Обливская;0
Орловский;0
Песчанокопское;0
Ремонтное;0
Родионово-Несветайская;0
Ростов-на-Дону;0
Сальск;0
Семикаракорск;0
Таганрог;0
Тарасовский;0
Тацинский;0
Усть-Донецкий;0
Целина;0
Цимлянск;0
Чалтырь;0
Чертково;0
Шахты;0
Шолоховский;0
Александро-Невский;0
Гусь Железный;0
Елатьма;0
Ермишь;0
Захарово;0
Кадом;0
Касимов;0
Кораблино;0
Милославское;0
Михайлов;0
Пителино;0
Пронск;0
Путятино;0
Рыбное;0
Ряжск;0
Рязань;0
Сапожок;0
Сараи;0
Сасово;0
Скопин;0
Спас-Клепики;0
Спасск-Рязанский;0
Старожилово;0
Ухолово;0
Чучково;0
Шацк;0
Шилово;0
Безенчук;0
Богатое;0
Богатырь;0
Большая Глущица;0
Большая Черниговка;0
Борское;0
Жигулевск;0
Зольное;0
Исаклы;0
Камышла;0
Кинель;0
Кинель-Черкасы;0
Клявлино;0
Кошки;0
Нефтегорск;0
Новокуйбышевск;0
Отрадный;0
Пестравка;0
Похвистнево;0
Приволжье;0
Самара;0
Сургут (Самарская обл.);0
Сызрань;0
Тольятти;0
Хворостянка;0
Чапаевск;0
Челно-Вершины;0
Шентала;0
Шигоны;0
Александров Гай;0
Аркадак;0
Аткарск;0
Базарный Карабулак;0
Балаково;0
Балашов;0
Балтай;0
Возрождение;0
Вольск;0
Духовницкое;0
Екатериновка;0
Ершов;0
Калининск;0
Каменский;0
Красный Кут;0
Лысые Горы;0
Маркс;0
Мокроус;0
Новоузенск;0
Новые Бурасы;0
Озинки;0
Перелюб;0
Петровск;0
Питерка;0
Пугачев;0
Ровное;0
Ртищево;0
Самойловка;0
Саратов;0
Татищево;0
Турки;0
Хвалынск;0
Энгельс;0
Абый;0
Амга;0
Батагай;0
Бердигестях;0
Беркакит;0
Бестях;0
Борогонцы;0
Верхневилюйск;0
Верхнеколымск;0
Верхоянск;0
Вилюйск;0
Витим;0
Власово;0
Жиганск;0
Зырянка;0
Кангалассы;0
Канкунский;0
Ленск;0
Майя;0
Менкеря;0
Нерюнгри;0
Нычалах;0
Нюрба;0
Олекминск;0
Покровск;0
Сангар;0
Саскылах;0
Среднеколымск;0
Сунтар;0
Тикси;0
Усть-Мая;0
Усть-Нера;0
Хандыга;0
Хонуу;0
Черский;0
Чокурдах;0
Чурапча;0
Якутск;0
Александровск-Сахалинский;0
Анбэцу;0
Анива;0
Бошняково;0
Быков;0
Вахрушев;0
Взморье;0
Гастелло;0
Долинск;0
Катангли;0
Корсаков;0
Курильск;0
Невельск;0
Ноглики;0
Оха;0
Поронайск;0
Северо-Курильск;0
Смирных;0
Томари;0
Тымовское;0
Углегорск;0
Холмск;0
Южно-Курильск;0
Южно-Сахалинск;0
Алапаевск;0
Алтынай;0
Арамиль;0
Арти;0
Асбест;0
Ачит;0
Байкалово;0
Басьяновский;0
Богданович;0
Буланаш;0
Верхний Тагил;0
Верхняя Пышма;0
Верхняя Салда;0
Верхняя Синячиха;0
Верхняя Сысерть;0
Верхняя Тура;0
Верхотурье;0
Висим;0
Воронцовка;0
Дегтярск;0
Екатеринбург;0
Ертарский;0
Заводоуспенское;0
Зыряновский;0
Зюзельский;0
Ивдель;0
Изумруд;0
Ирбит;0
Ис;0
Каменск-Уральский;0
Камышлов;0
Карпинск;0
Карпунинский;0
Качканар;0
Кировград;0
